"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"UMEÅ","3211","3202","6785","5,13","335","38","17","0,25","0,59","11,34","0,05"
"UPPLANDS VÄSBY","1202","1305","2568","5,21","67","10","3","0,14","0,36","13,33","0,03"
"UPPLANDS-BRO","553","716","1305","4,1","79","12","7","0,25","0,64","10,31","0,06"
"UPPSALA","5374","6047","11889","4,91","573","79","18","0,24","0,66","13,09","0,05"
"UPPVIDINGE","184","169","368","3,91","10","4","0","0,11","0,19","6,56","0,03"
"VADSTENA","133","189","330","4,41","14","3","1","0,19","0,33","7,68","0,04"
"VAGGERYD","293","374","707","4,76","55","11","5","0,37","0,68","8,26","0,08"
"VALDEMARSVIK","87","106","210","2,75","34","7","4","0,45","0,77","4,39","0,16"
"VALLENTUNA","980","1188","2223","6,38","59","13","1","0,17","0,37","13,45","0,03"
"VANSBRO","61","62","132","1,94","23","5","4","0,34","0,52","2,79","0,17"
"VARA","281","503","838","5,18","86","17","8","0,53","0,88","7,98","0,1"
"VARBERG","1532","2253","4007","5,91","277","52","12","0,41","0,78","10,65","0,07"
"VAXHOLM","384","488","882","7,41","8","2","0","0,07","0,15","16,55","0,01"
"VELLINGE","1092","2013","3138","8,3","116","32","3","0,31","0,57","15,24","0,04"
"VETLANDA","583","762","1392","5,03","50","10","6","0,18","0,32","8,48","0,04"
"VILHELMINA","42","40","88","1,38","12","3","3","0,19","0,29","2,02","0,14"
"VIMMERBY","302","399","739","4,75","102","18","5","0,66","1,1","7,54","0,14"
"VINDELN","67","75","146","2,65","12","3","3","0,22","0,38","4,54","0,08"
"VINGÅKER","133","145","313","3,49","10","3","1","0,11","0,2","5,44","0,03"
"VÅRGÅRDA","235","233","481","3,92","31","10","3","0,25","0,47","7,11","0,06"
"VÄNERSBORG","801","1107","1986","4,98","140","16","4","0,35","0,64","8,73","0,07"
"VÄNNÄS","123","182","311","3,47","30","7","1","0,33","0,61","6,2","0,1"
"VÄRMDÖ","1631","1616","3288","7,08","156","22","7","0,34","0,81","16,78","0,05"
"VÄRNAMO","1114","1295","2508","7,23","161","31","14","0,46","0,83","12,37","0,06"
"VÄSTERVIK","523","631","1235","3,37","127","33","6","0,35","0,66","6,04","0,1"
"VÄSTERÅS","4185","4309","8835","5,57","794","99","27","0,5","1,12","11,99","0,09"
"VÄXJÖ","2360","2750","5311","5,47","263","57","11","0,27","0,59","11,47","0,05"
"YDRE","72","65","145","3,94","2","1","0","0,05","0,09","6,23","0,01"
"YSTAD","674","857","1573","4,96","153","19","8","0,48","0,93","9,29","0,1"
"ÅMÅL","296","206","546","4,47","143","27","8","1,17","2,14","7,5","0,26"
